"nativity","RACE_HISP","SEX","YEAR","TOTAL_POP","POP_0","POP_1","POP_2","POP_3","POP_4","POP_5","POP_6","POP_7","POP_8","POP_9","POP_10","POP_11","POP_12","POP_13","POP_14","POP_15","POP_16","POP_17","POP_18","POP_19","POP_20","POP_21","POP_22","POP_23","POP_24","POP_25","POP_26","POP_27","POP_28","POP_29","POP_30","POP_31","POP_32","POP_33","POP_34","POP_35","POP_36","POP_37","POP_38","POP_39","POP_40","POP_41","POP_42","POP_43","POP_44","POP_45","POP_46","POP_47","POP_48","POP_49","POP_50","POP_51","POP_52","POP_53","POP_54","POP_55","POP_56","POP_57","POP_58","POP_59","POP_60","POP_61","POP_62","POP_63","POP_64","POP_65","POP_66","POP_67","POP_68","POP_69","POP_70","POP_71","POP_72","POP_73","POP_74","POP_75","POP_76","POP_77","POP_78","POP_79","POP_80","POP_81","POP_82","POP_83","POP_84","POP_85"
1,0,0,2016,279282932,3923254,3937356,3925116,3904572,3900724,3934228,3918938,3907278,4018001,4022491,3973568,3944091,3935336,3888326,3855621,3931330,3974182,3895305,3879424,3870589,3877916,3937486,3987470,4016942,4087923,4126608,4079958,3879797,3751157,3653026,3633512,3626671,3477065,3501948,3471902,3416923,3456282,3226205,3142907,3092740,2977373,3065598,2962013,3012963,3176822,3398725,3447443,3275245,3212717,3248084,3320788,3548648,3638949,3654428,3677802,3746880,3774046,3670787,3661769,3630754,3498503,3472088,3341130,3217955,3097762,3000154,2917310,2839375,2811371,2945968,2136309,2105345,2050709,2101430,1810929,1640424,1536047,1436229,1363310,1242219,1172644,1109863,981214,934694,875751,5558197
1,0,0,2017,280953400,4033297,3919374,3935842,3923855,3903674,3900216,3934028,3918899,3907468,4018416,4023042,3974085,3944308,3935519,3888144,3855263,3930860,3973341,3894170,3877587,3868300,3874928,3933969,3983479,4012879,4083982,4122500,4075804,3876042,3747468,3649552,3629843,3623076,3473290,3498116,3467979,3412769,3451592,3221653,3138166,3087649,2972019,3059787,2955690,3005980,3168772,3389257,3436863,3264296,3201009,3235120,3306160,3531731,3620152,3634010,3655559,3722448,3747649,3643162,3632343,3599568,3466354,3437917,3305973,3181737,3060334,2960947,2876058,2796106,2764907,2893181,2094518,2060411,2002995,2048139,1760591,1590375,1484596,1383307,1307930,1186484,1114457,1048785,921201,871100,5628998
1,0,0,2018,282619586,4054622,4029313,3917839,3934549,3922909,3903110,3899958,3933918,3919006,3907800,4018867,4023454,3974224,3944409,3935268,3887730,3854764,3930001,3972133,3892304,3875268,3865329,3871474,3930042,3979478,4009004,4079932,4118331,4071868,3872232,3743894,3645881,3626255,3619158,3469533,3494197,3463808,3408230,3446760,3216848,3133080,3082194,2966502,3053383,2948990,2998518,3160121,3379080,3425597,3252675,3188493,3221206,3290729,3513841,3600337,3612478,3632196,3697004,3719968,3614422,3601750,3567122,3432871,3402324,3269374,3143935,3021045,2919785,2832792,2750500,2715898,2837456,2050409,2012994,1952748,1991890,1707460,1537697,1430429,1327620,1249749,1128093,1053570,985145,858990,5683426
1,0,0,2019,284281198,4074473,4050638,4027714,3916520,3933557,3922289,3902791,3899781,3933948,3919246,3908164,4019186,4023511,3974247,3944096,3934792,3887170,3853893,3928776,3970208,3889955,3872296,3861879,3867623,3926117,3975639,4005040,4075825,4114371,4067883,3868526,3740134,3642283,3622370,3615253,3465682,3490039,3459269,3403552,3441672,3211704,3127643,3076559,2960421,3046593,2941823,2990500,3150813,3368237,3413633,3240253,3175056,3206522,3274401,3494970,3579433,3589849,3607852,3670314,3691154,3584528,3569913,3533313,3397962,3365248,3231135,3104219,2979760,2876560,2787156,2702362,2664131,2778584,2003821,1963022,1899683,1932478,1651488,1482190,1373404,1269061,1188727,1066954,990099,919133,5718129
1,0,0,2020,285935811,4091824,4070494,4049003,4026339,3915487,3932886,3921903,3902547,3899738,3934098,3919509,3908396,4019167,4023449,3973867,3943562,3934157,3886246,3852663,3926854,3967789,3886984,3868840,3858046,3863779,3922332,3971729,4001021,4071916,4110359,4063978,3864644,3736441,3638402,3618494,3611245,3461606,3485527,3454586,3398619,3436235,3206222,3122019,3070373,2953972,3039325,2934124,2981867,3140896,3356727,3400849,3226926,3160871,3190980,3257170,3475056,3557450,3566244,3582304,3642520,3661177,3553406,3536720,3498045,3361569,3326475,3190931,3062447,2936361,2830934,2738961,2651489,2609422,2716352,1954678,1910225,1843603,1869820,1592449,1423697,1313371,1207576,1124799,1003172,924226,5803250
1,0,0,2021,287579569,4105992,4087848,4068827,4047592,4025242,3914763,3932438,3921584,3902422,3899798,3934259,3919645,3908315,4019027,4023002,3973271,3942867,3933175,3884961,3850757,3924440,3964769,3883513,3865010,3854227,3860048,3918491,3967765,3997192,4067962,4106419,4059917,3860813,3732486,3634532,3614513,3607025,3457194,3480871,3449658,3393352,3430463,3200544,3115864,3063813,2947067,3031527,2925832,2972666,3130368,3344420,3387146,3212844,3145858,3174569,3238976,3454102,3534506,3541471,3555692,3613589,3629959,3520944,3502061,3461241,3323471,3285680,3148617,3018496,2890506,2782708,2688000,2597681,2551566,2650609,1902715,1854398,1784416,1803680,1530190,1362046,1250283,1143130,1058065,936933,5884875
1,0,0,2022,289208461,4117314,4102025,4086146,4067385,4046445,4024449,3914255,3932051,3921376,3902388,3899862,3934297,3919488,3908113,4018519,4022345,3972511,3941837,3931831,3883019,3848354,3921458,3961237,3879682,3861195,3850498,3856278,3914599,3963982,3993317,4064065,4102333,4055896,3856742,3728534,3630551,3610325,3602480,3452634,3475972,3444395,3387768,3424477,3194351,3109335,3056787,2939661,3023132,2916987,2962895,3119109,3331237,3372662,3197944,3129998,3157233,3219826,3432213,3510417,3515654,3527973,3583444,3597380,3487029,3465872,3422676,3283362,3242718,3104049,2972026,2841987,2731663,2634068,2540745,2490415,2581037,1847739,1795442,1721901,1733865,1464492,1297172,1184125,1075815,988721,5970876
1,0,0,2023,290818238,4125844,4113359,4100290,4084668,4066192,4045593,4023862,3913801,3931768,3921253,3902352,3899807,3934060,3919207,3907564,4017808,4021511,3971423,3940445,3929842,3880572,3845414,3917955,3957354,3875872,3857446,3846744,3852462,3910876,3960160,3989489,4060035,4098280,4051652,3852672,3724466,3626378,3605832,3597776,3447834,3470746,3438830,3381971,3417981,3187783,3102342,3049262,2931683,3014178,2907598,2952448,3107051,3317296,3357334,3182188,3113237,3138974,3199804,3409224,3485301,3488753,3499090,3551969,3563316,3451584,3427904,3382033,3241086,3197418,3056898,2922827,2790592,2677602,2576970,2480525,2425677,2507367,1789626,1733128,1655868,1660098,1395285,1229106,1114975,1005826,6097566
1,0,0,2024,292404816,4132013,4121899,4111594,4098777,4083427,4065284,4044939,4023322,3913442,3931553,3921115,3902199,3899498,3933703,3918595,3906824,4016918,4020363,3969976,3938428,3927339,3877617,3841953,3914112,3953501,3872101,3853689,3842947,3848803,3907116,3956367,3985542,4056029,4094021,4047398,3848475,3720215,3621915,3601175,3592834,3442720,3465234,3433043,3375691,3411085,3180741,3094853,3041155,2923169,3004667,2897556,2941259,3094289,3302537,3341120,3165539,3095575,3119869,3178769,3385250,3459124,3460715,3468910,3519030,3527689,3414366,3387863,3339167,3196475,3149471,3006942,2870667,2736111,2620321,2516540,2416735,2357099,2429384,1728155,1667272,1586033,1582298,1322624,1157916,1043037,6229733
1,0,0,2025,293964768,4136519,4128080,4120103,4110048,4097490,4082461,4064567,4044327,4022870,3913138,3931313,3920864,3901814,3899062,3933026,3917799,3905902,4015725,4018847,3967915,3935885,3924355,3874123,3838167,3910303,3949657,3868337,3849889,3839295,3845109,3903374,3952470,3981613,4051841,4089754,4043013,3844104,3715686,3617288,3596287,3587576,3437342,3459495,3426793,3369027,3403696,3173211,3086798,3032503,2914130,2994503,2886809,2929412,3080782,3286924,3323981,3147979,3077078,3099794,3156828,3360250,3431831,3431406,3437309,3484551,3490240,3375086,3345593,3293880,3149211,3098631,2953946,2815339,2678343,2559648,2452496,2349131,2284476,2346808,1663142,1597556,1512317,1500555,1246572,1083792,6385578
1,0,0,2026,295498659,4140055,4132622,4126283,4118561,4108763,4096522,4081735,4063948,4043864,4022543,3912891,3931052,3920471,3901377,3898392,3932228,3916887,3904761,4014234,4016795,3965396,3932939,3920881,3870373,3834476,3906558,3945903,3864600,3846302,3835689,3841512,3899626,3948673,3977593,4047715,4085425,4038533,3839531,3711048,3612489,3591145,3582108,3431788,3453345,3420194,3361917,3395829,3165136,3078218,3023345,2904489,2983653,2875451,2916895,3066504,3270429,3305918,3129600,3057656,3078863,3133959,3334194,3403299,3400703,3404217,3448286,3450700,3333597,3300904,3245882,3099075,3044680,2897701,2756636,2617099,2495303,2384591,2277491,2207544,2259381,1594236,1523914,1434837,1414944,1167345,6566412
1,0,0,2027,297003906,4142631,4136195,4130834,4124748,4117275,4107795,4095795,4081111,4063481,4043530,4022280,3912627,3930660,3920034,3900712,3897614,3931328,3915767,3903341,4012220,4014286,3962478,3929511,3917159,3866725,3830855,3902912,3942186,3861084,3842771,3832184,3837916,3895981,3944797,3973645,4043536,4081010,4033851,3834853,3706246,3607446,3585799,3576457,3425836,3446857,3413154,3354350,3387398,3156544,3069142,3013586,2894199,2972182,2863442,2903657,3051413,3253037,3286999,3110294,3037399,3057033,3110116,3306948,3373390,3368536,3369375,3409954,3408904,3289701,3253503,3194923,3045826,2987382,2837990,2694358,2552101,2427025,2312587,2201552,2126054,2166601,1521375,1446470,1353648,1325705,6809694
1,0,0,2028,298477290,4143856,4138808,4134413,4129305,4123467,4116309,4107069,4095168,4080642,4063145,4043261,4022004,3912239,3930224,3919373,3899946,3896736,3930219,3914369,3901406,4009754,4011391,3959085,3925841,3913545,3863151,3827335,3899307,3938690,3857626,3839344,3828685,3834427,3892259,3940993,3969649,4039275,4076398,4029057,3830003,3701198,3602202,3580281,3570406,3419552,3439932,3405658,3346231,3378417,3147449,3059463,3003165,2883320,2960050,2850738,2889664,3035494,3234812,3267115,3090148,3016270,3034272,3085165,3278362,3342026,3334636,3332520,3369396,3364656,3243106,3203139,3140756,2989235,2926505,2774591,2628212,2483072,2354576,2236217,2121051,2039498,2068359,1444705,1365279,1268960,7179657
1,0,0,2029,299916095,4143967,4140074,4137033,4132889,4128026,4122503,4115583,4106443,4094696,4080303,4062873,4042981,4021602,3911809,3929570,3918613,3899082,3895661,3928841,3912461,3899029,4006907,4008020,3955451,3922280,3910002,3859680,3823856,3895924,3935250,3854267,3835921,3825291,3830862,3888610,3937141,3965572,4034821,4071672,4024086,3824904,3695949,3596791,3574367,3564017,3412841,3432556,3397615,3337583,3368908,3137750,3049131,2992146,2871814,2947206,2837299,2874891,3018808,3215651,3246357,3069126,2994228,3010439,3058970,3248369,3308952,3298743,3293487,3326411,3317654,3193566,3149560,3083138,2929065,2861835,2707217,2557919,2409764,2277662,2155211,2035475,1947794,1964910,1364265,1280536,7465563
1,0,0,2030,301318195,4143481,4140222,4138306,4135516,4131614,4127065,4121777,4114953,4105964,4094352,4080024,4062588,4042578,4021159,3911165,3928819,3917759,3898025,3894317,3926957,3910114,3896278,4003584,4004408,3951929,3918792,3906568,3856249,3820597,3892600,3931910,3850917,3832603,3821825,3827376,3884914,3933208,3961303,4030258,4066774,4018868,3819603,3690528,3590991,3568118,3557188,3405689,3424640,3389043,3328429,3358769,3127396,3038200,2980486,2859629,2933613,2823106,2859403,3001254,3195642,3224692,3047188,2971132,2985396,3031467,3216709,3273899,3260700,3252091,3280706,3267639,3140827,3092526,3021830,2865097,2793068,2635575,2483211,2331869,2196012,2069010,1944722,1851189,1856289,1280261,7735647
